entity,formattype,todate,amazontotalreviews,minappleprice,amazontotalrevenue,accruedpreordersoldunits,amazonlumpedpreordersubscriptionrevenue,preordersalesrevenue,foundatamazon,barnesandnobleaccruedpreorderrevenue,amazonpreordersubscriptionunits,amazonlumpedpreordersalesrevenue,foundatbarnesandnoble,maxprice,lumpedpreordersubscriptionunits,applepreorderrevenue,amazontotalunits,totalrevenue,barnesandnobleaccruedpreorderunits,preorderunits,amazonsubscriptionrevenue,amazonlumpedpreorderrevenue,maxbarnesandnoblelistprice,maxlistprice,barnesandnoblesoldunits,maxapplelistprice,amazonaccruedpreordersubscriptionrevenue,accruedpreordersubscriptionunits,amazonkenpread,applesoldunits,minamazonlistprice,minprice,appleaccruedpreorderunits,preorderperiod,lumpedpreordersoldunits,accruedpreorderrevenue,maxamazonlistprice,amazonaccruedpreorderrevenue,barnesandnoblepreorderunits,amazonaccruedpreorderunits,minbarnesandnoblelistprice,appleaccruedpreorderrevenue,applelumpedpreorderunits,applesalesrevenue,preordersoldunits,lumpedpreordersalesrevenue,totalunits,maxamazonprice,amazonlumpedpreordersoldunits,amazonaveragerating,accruedpreorderunits,amazonsalesrevenue,barnesandnoblesalesrevenue,minlistprice,amazonaccruedpreordersalesrevenue,amazonlumpedpreorderunits,lumpedpreordersubscriptionrevenue,applelumpedpreorderrevenue,minamazonprice,subscriptionunits,amazonpreorderunits,amazonpreorderrevenue,amazonaccruedpreordersoldunits,amazonpreordersoldunits,salesrevenue,preordersubscriptionrevenue,lumpedpreorderunits,amazonaccruedpreordersubscriptionunits,applepreorderunits,subscriptionrevenue,soldunits,minapplelistprice,barnesandnoblepreorderrevenue,amazonsubscriptionunits,amazonlumpedpreordersubscriptionunits,aapreported,accruedpreordersubscriptionrevenue,foundatapple,barnesandnoblelumpedpreorderrevenue,barnesandnoblelumpedpreorderunits,minbarnesandnobleprice,accruedpreordersalesrevenue,maxbarnesandnobleprice,preorderrevenue,pubtrackreported,lumpedpreorderrevenue,amazonsoldunits,amazonpreordersubscriptionrevenue,preordersubscriptionunits,amazonpreordersalesrevenue,maxappleprice
Alone in the dark,audio,2017-05-11,307.0,0,4785,0,0,0,1,0,0,0,0,1795,0,0,3,4785,0,0,2990,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,3,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,2,0,0,0,0,1795,0,0,0,0,2990,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-05-12,307.0,0,0,0,0,0,1,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,0,1795,0,440.0,0,0,0,1885,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alone in the dark,audio,2017-05-13,307.0,0,0,0,0,0,1,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,0,1795,0,440.0,0,0,0,1885,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alone in the dark,audio,2017-05-22,307.0,0,3290,0,0,0,1,0,0,0,0,1795,0,0,2,3290,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,2,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,1,0,0,0,0,1795,0,0,0,0,1495,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-05-23,307.0,0,3290,0,0,0,1,0,0,0,0,1795,0,0,2,3290,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,2,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,1,0,0,0,0,1795,0,0,0,0,1495,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-05-24,307.0,0,3290,0,0,0,1,0,0,0,0,1795,0,0,2,3290,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,2,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,1,0,0,0,0,1795,0,0,0,0,1495,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-05-25,307.0,0,3290,0,0,0,1,0,0,0,0,1795,0,0,2,3290,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,2,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,1,0,0,0,0,1795,0,0,0,0,1495,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-05-26,307.0,0,1795,0,0,0,1,0,0,0,0,1795,0,0,1,1795,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,0,0,0,0,0,1795,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-05-27,307.0,0,1795,0,0,0,1,0,0,0,0,1795,0,0,1,1795,0,0,0,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,1795,0,1885,0,0,0,0,1795,0,0,0,0,0,1795,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Alone in the dark,audio,2017-05-28,307.0,0,1495,0,0,0,1,0,0,0,0,1795,0,0,1,1495,0,0,1495,0,0,1885,0,0,0,0,0,0,1885,1795,0,0,0,0,1885,0,0,0,0,0,0,0,0,0,1,1795,0,440.0,0,0,0,1885,0,0,0,0,1795,1,0,0,0,0,0,0,0,0,0,1495,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
